0,1,2
2454849.42764,19202.8,11.2
2454849.43654,19181.1,11.1
2454849.44552,19180.7,11.1
2454849.45469,19167.8,10.8
2454849.46419,19168.5,10.6
2454849.47405,19144.4,10.6
2454849.48469,19135.3,10.8
2454849.49611,19098.4,11.8
2454849.50751,19085.7,12.1
2454849.51895,19081.2,12.3
2454849.53036,19053.2,12.3
2454849.54177,19016.3,12.1
2454849.55319,19007.6,12.9
2454849.56461,19008.3,11.9
2454849.57603,18996.6,13.2
2454889.3795,19129.5,4.0
2454890.44193,19079.5,4.7
2454912.37616,19179.3,8.5
2454914.36671,18975.0,4.4
2454926.34294,18929.5,4.3
2454935.32914,19268.4,11.8
2454936.31657,19164.4,6.8
2455269.37102,19305.0,3.8
2455271.33688,19071.9,3.9
2455272.38229,19043.0,3.9
2455273.33965,18891.9,3.9
2455282.31904,19174.9,4.5
2455283.35164,19110.9,4.9
NaN,NaN,NaN
